variable,definition
ED6_c,"[Completed less education] Knowing what you know now about the benefits and costs of your education,if you could go back and make your education decisions again would have done each of these things: "
ED6_d,"[Completed more education] Knowing what you know now about the benefits and costs of your education, if you could go back and make your education decisions again would have done each of these things: "
ED6_e,"[Chosen not to attend college] Knowing what you know now about the benefits and costs of your education, if you could go back and make your education decisions again would have done each of these things: "
ED7A,In what state is the school that you received your located? 
ED10,"Overall, how would you say the lifetime financial benefits of your [DOV_ED] program compare to its financial costs? "
ED11_a,"[Chosen a different field of study] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
ED11_b,"[Attended a different school] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
ED11_c,"[Completed less education] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
ED11_d,"[Completed more education] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
ED11_e,"[Chosen not to attend college] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
ED12_a,[Parents] How important was the advice or opinion of each of the following types of people when your were deciding to attend college and what school to attend? 
ED12_b,"[Siblings, aunts, uncles, or other relatives] How important was the advice or opinion of each of the following types of people when your were deciding to attend college and what school to attend? "
ED12_c,[Friends] How important was the advice or opinion of each of the following types of people when your were deciding to attend college and what school to attend? 
ED12_d,[High school teachers or counselors] How important was the advice or opinion of each of the following types of people when your were deciding to attend college and what school to attend? 
ED12_e,[Faculty or representatives of a college] How important was the advice or opinion of each of the following types of people when your were deciding to attend college and what school to attend? 
ED12_f,[Employer] How important was the advice or opinion of each of the following types of people when your were deciding to attend college and what school to attend? 
ED12_g,[Religious leader] How important was the advice or opinion of each of the following types of people when your were deciding to attend  college and what school to attend? 
ED12_h,[Other (Please specify)] How important was the advice or opinion of each of the following types of people when your were deciding to attend college and what school to attend? 
ED13_a,[Too expensive] Which of the following are reasons why you did not attend college? 
ED13_b,[Child care responsibilities] Which of the following are reasons why you did not attend college? 
ED13_c,[Supported or cared for parents or siblings] Which of the following are reasons why you did not attend college? 
ED13_d,[Needed to earn money] Which of the following are reasons why you did not attend college? 
ED13_e,[Wanted to work] Which of the following are reasons why you did not attend college? 
ED13_f,[Simply was not interested in college] Which of the following   are reasons why you did not attend college?  
ED13_g,[Was not admitted] Which of the following are reasons why you did not attend college? 
ED13_h,[Did not think benefits of attending college were worth the cost] Which of the following are reasons why you did not attend college? 
ED13_i,[Other] Which of the following are reasons why you did not attend college? 
ED13_Refused,[Refused] Which of the following are reasons why you did not attend college? 
ED14_a,[Too expensive] Which of the following are reasons why you did not complete your college degree? 
ED14_b,[Child care responsibilities] Which of the following are reasons why you did not complete your college degree? 
ED14_c,[Supported or cared for parents or siblings] Which of the following are reasons why you did not complete your college degree? 
ED14_d,[Needed to earn money] Which of the following are reasons why you did not complete your college degree? 
ED14_e,[Wanted to work] Which of the following are reasons why you did not complete your college degree? 
ED14_f,[Simply not interested in continuing in college] Which of the following are reasons why you did not complete your college degree? 
ED14_g,[Did not think the benefits of continuing college were worth the cost] Which of the following are reasons why you did not   complete you college degree?  
ED14_h,[Low grades] Which of the following are reasons why you did not complete your college degree? 
ED14_i,[Other] Which of the following are reasons why you did not complete your college degree? 
ED14_Refused,[Refused] Which of the following are reasons why you did not complete your college degree? 
SL1,Do you currently have student loan debt or owe any money used to pay for your own education? 
SL2_a,[Student Loan] Think about the money you currently owe for your own education. Is the money you owe for that education a: 
SL2_b,[Home Equity Loan] Think about the money you currently owe for your own education. Is the money you owe for that education a: 
SL2_c,[Credit Card] Think about the money you currently owe for your own education. Is the money you owe for that education a: 
SL2_d,[Other Loan (Please specify)] Think about the money you currently owe for your own education. Is the money you owe for that education a: 
SL3_a,"[Student Loan] Thinking specifically about the money that you owe for your own educartion, please tell us the amount that you currently owe on each of these loans "
SL3_b,"[Home Equity Loan] Thinking specifically about the money that you owe for your own educartion, please tell us the amount that you currently owe on each of these loans "
SL3_c,"[Credit Card] Thinking specifically about the money that you owe for your own educartion, please tell us the amount that you currently owe on each of these loans "
SL3_TOTAL,"[Total] Thinking specifically about the money that you owe for your own educartion, please tell us the amount that you currently owe on each of these loans "
SL4A,Does anyone else (such as a parent) help you pay these loans from your own education? 
SL4,Approximately how much is the total monthly payment that you make on the loans from your education? 
SL5,"Is one or more of the loans from your own education in deferment, forbearance, or being forgiven so you do not need to make payments right now? "
SL6,Are you behind on payments or in collections for one or more of the loans from your own education? 
SL7,Did you borrow money or take out any loans to pay for your own education that you have since repaid? 
SL8_a,"[Certificate or technical training] Still thinking about the money you borrowed to pay for your own education, did you borrow money for each of the following educational programs (including any loans which you have completely repaid)? "
SL8_b,"[Associate degree] Still thinking about the money you borrowed to pay for your own education, did you borrow money for each of the following educational programs (including any loans which you have completely repaid)? "
SL8_c,"[Bachelor?s degree] Still thinking about the money you borrowed to pay for your own education, did you borrow money for each of the following educational programs (including any loans which you have completely repaid)? "
SL8_d,"[Professional degree (e.g. MBA, MD, JD)] Still thinking about the money you borrowed to pay for your own education, did you borrow money for each of the following educational programs (including any loans which you have completely repaid)? "
SL8_e,"[Master?s degree or Doctoral Degree] Still thinking about the money you borrowed to pay for your own education, did you borrow money for each of the following educational programs (including any loans which you have completely repaid)? "
SL9,Did you complete the most recent educational program for which you borrowed money? 
SL10,Do you currently owe any money used to pay for your [spouse's/partner's] education? 
SL11,Do you currently owe any money used to pay for your child or grandchild?s education? 
SL12_a,[Student Loan] Is the money you owe for your child or grandchild?s education a: 
SL12_b,[Home Equity Loan] Is the money you owe for your child or grandchild?s education a: 
SL12_c,[Credit Card] Is the money you owe for your child or grandchild?s education a: 
SL12_d,[Other Loan (Please specify)] Is the money you owe for your child or grandchild?s education a: 
K2_a,"[401(k), 403(b), Keogh, or other defined contribution plan through an employer or former employer] Do you currently have each of the following types of retirement savings or pension? "
K2_b,[Pension with a defined benefit through an employer or former employer] Do you currently have each of the following types of retirement savings or pension? 
K2_c,[IRA or Roth IRA] Do you currently have each of the following types of retirement savings or pension? 
K2_d,[Savings outside a retirement account Do you currently have each of the following types of retirement savings or pension? 
K2_e,[Ownership of real estate or land that you plan to sell or rent to generate income in retirement] Do you currently have each of the following types of retirement savings or pension? 
K2_f,[Ownership of my business] Do you currently have each of the following types of retirement savings or pension? 
K2_g,[Other retirement savings (Please specify)] Do you currently have each of the following types of retirement savings or pension? 
DC1,"Does your employer offer a 401(k), 403(b), Thrift, or other defined contribution retirement plan, would you contribute to the plan? "
DC3,"If your employer did offer a 401(k), 403(b), Thrift, or other defined contribution retirement plan, woudl you contribute to the plan? "
DC4,How comfortable are you with making your own investment decisions in your retirement accounts? 
K5A,"In the past 12 months, have you borrowed money from or cashed out (permanently withdrawn) money from any your retirement savings accounts? "
K8A,You indicated previously that you are retired. At what age did you retire?  
K9_a,[Poor health] How important were each of the following in your decision to retire at the age that you did? 
K9_b,[Wanted to do other things] How important were each of the following in your decision to retire at the age that you did? 
K9_c,[Didn?t like the work] How important were each of the following in your decision to retire at the age that you did? 
K9_d,[Wanted to spend more time with family] How important were each of the following in your decision to retire at the age that you did? 
K9_e,[Forced to retire or lack of available work] How important were each of the following in your decision to retire at the age that you did? 
K10_a,[Social Security] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
K10_b,[I have a job] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
